src,predicted,actual
oh my god,ओह भगवान,ओह मेरे भगवान
otherwise what will you do,भाई आप क्या किया है,नहीं तो   आप क्या करेंगे
he would never hurt me,वह मुझसे कुछ नहीं कहा,वह मुझे चोट नहीं होता
you have a good one,आप एक अच्छी पुरुषों है है,आप एक अच्छा एक है
no it is red sweat,नहीं यह अच्छा है,नहीं यह लाल पसीना है
well that was succinct,वैसे ये सीधे धूप,वह बहुत ही छोटा था
you will survive it,आप इसे ठीक करते हैं,तुम इससे बच जाओगे
this leads to the basement,तुम करने के लिए पसंद हो गया है,ये बेसमेंट को जाता है
at least here it did,पागलों   मुझे इस सही है,कम से कम यहाँ तो कर रहा है
it is inside him look,यह सब मिनट था,यह उसके अंदर है देखो
which one do you think,तुम्हें तो है पर क्या है,तुम्हारे विचार से कौनसा
and here you are,और यहाँ तुम हो,और यहाँ तुम हो
you ta got lock your doors,तुम होगा अपने दरवाजे बंद कर,तुम होगा अपने दरवाजे बंद कर
you are covered in blood,आप अपनी ऊर्जा को रहे हैं,आप रक्त में कवर कर रहे हैं
i got my hair cut,मैं अपने बाल काट मिल गया,मैं अपने बाल काट मिल गया
he is mr wayne,उन्होंने वह कि में था,उन्होंने कहा श्री वेन है
jake says thank you,दस मिनट शुक्रिया,जेक कहता हैं शुक्रिया
i got this,मैं ऐसा किया,मैं संभाल लूंगा
my führer this is outrageous,मेरा इसका बहुत मेरा है,मेरे फ्यूरर यह अति है
you do not understand the situation,आप स्थिति समझ में नहीं आता,आप स्थिति समझ में नहीं आता
do you fear domination john,आप वर्चस्व डर है जॉन,आप वर्चस्व डर है जॉन
where did he go,वह कहाँ गया,वह कहाँ चला गया
oh i ta got go,विंसेंट मैं पड़ेगा,ओह मुझे जाना है
this is a chase rahul,यह एक बुरा अच्छी बात है,ये चेज है राहुल
who are you looking for,जो आप के लिए देख रहे हैं,तुम किसे खोज रहे हो
it should get circulated immediately,यह दसास्वमेघ घाट जंगह्वा है,यह तुरंत परिचालित हो जाना चाहिए
they just got engaged,वे हाइड्रा शब्द हैं,उनकी सगाई हुई है
thank you for seeing me,मुझे देख के लिए धन्यवाद,मुझे देख के लिए धन्यवाद
she is right here aunty,वह बहुत रहा है,वह यहीं है चाची और के
i could not save them,मैं किसी भी नहीं करूंगा,मैं उन्हें नहीं बचा सके
i do not want him,मैं यह नहीं चाहता,मुझे ये कबूल नहीं
i not can hear you,मैं तुम पर विश्वास नहीं हैं,मैं सुन नहीं सका
change the cylinder quickly,सोचो बंद तैयार हैं,सिलेंडर जल्दी बदल जाते हैं
you go first,आप शांत थे,आप पहले जाते हैं
with every breath i take,हर सांस मैं ले के साथ,हर सांस मैं ले के साथ
lost your bottom jaw,नीचे का जबड़ा गया,नीचे का जबड़ा गया
you have good teeth,आप आगंतुकों आदमी है,आप अच्छा दांत है
watch it watch it,यह देखो इसे देखते हैं,यह देखो इसे देखते हैं
shut up all right,सही फोन ले लो,अप ठीक रहो
i ta got call you back,मैं तुम्हें वापस वापस जाएगा,मैं तुम्हें वापस बुलाना
what if i do not,मुझे नहीं क्या मतलब है,अगर नहीं दिखाया तो
two drones shot down today,अज्ञात को नीचे लाओ,दो ड्रोन आज मार गिराया
you were uh extremely lucky,तुम कुछ अच्छी महिला हैं,आप उह   भुत ज्यादा भाग्यशाली है
is this a windup,यह एक रानी है,क्या यह पहले से तैयार था
ape always seek strongest branch,यहां तक ​​कि   नीचे वाला जाता है,वानर हमेशा मजबूत टहनी पर लटकते हैं
what did you call me,तुमने मुझे क्या कहा था,तुमने मुझे क्या कहा
of course you do,बेशक आता है,बेशक आता है
that was good of her,यही कारण है कि उसके बारे में अच्छा था,यही कारण है कि उसके बारे में अच्छा था
you ta got go for me,आप जाने बात होगा,तुम्हें मेरे लिए जाना होगा
everythings very fragile here,यहाँ यहाँ बहुत अच्छा लड़का है,सबकुछ बहुत नाज़ुक है
now let me tell you,मैं अब मैं आपको बता दूँ,मैं अब मैं आपको बता दूँ
wallet us in my pocket,अपनी पैसे अपने दोस्त,पर्स मेरी जेब में है
i have to fix this,मैं इसे झूठ करना होगा,मैं इसे ठीक करने के लिए है
what was shifu thinking,न जाने शीफ़ू को क्या सूझी,न जाने शीफ़ू को क्या सूझी
that is called loaf,कि यह लग रहा है,यही पाव रोटी कहा जाता है
apes must attack human city,कई कठिन बहुत हो रही है,वानरों को मनुष्यों के शहर पर धावा बोलना होगा
i designed this ship,मैं इस जहाज बनाया गया,मैं इस जहाज बनाया गया
to tell the tale,तुम लोगों के पास में,मेरे लिए स्पैरो खोजें और एक संदेश प्राप्त करें
what a great fortune,क्या शुभ समाचार है,क्या किस्मत है
it is a long journey man,यह एक लंबी यात्रा है यार,यह एक लंबी यात्रा है यार
that is not longrange gunfire,यह कोई बड़ी नहीं नहीं है,यह लंबी दूरी की गोलियां नहीं हैं
stay away from me,मुझसे दूर रहो,मुझसे दूर रहो
i am touching you,मैं तुम प्यार हूँ,मैं तुम्हें छू रहा हूँ
he is a smart kid,एक स्मार्ट बच्चा है,एक स्मार्ट बच्चा है
you not can take that,तुम सह नहीं सकोगे,तुम सह नहीं सकोगे
it is really not that deep,यह केवल   कोई कोई नहीं होगा,यह सच है कि गहरी नहीं है
you got the money chico,आप दो मुंह बंद कर दिया,तुम पास पैसा है   चिको
and so can i,मैं भी मार सकता हूँ,मैं भी मार सकता हूँ
i think that is illegal,मैं अपने पिता को कभी नहीं किया,जो वे खरीद नहीं सकते
you take we are sorry,वे कहते हैं हैं,आप स्लाइड फिर से करना चाहते हैं
just wanted to play,बस खेलने के लिए करना चाहता था,बस खेलने के लिए करना चाहता था
jack no we are a team,ठीक है हम याद नहीं है,जैक नहीं हम एक टीम हैं
i was a fool sam,मैं वह पसंद छोड़कर करती है,मैं बेवकूफ़ था सैम
go and find the calf,अपने प्रयास ख़तरे में से,जाओ और बछड़ा खोजो
that was shit,क्या,यह बकवास था
she is a nice lady,वह एक अच्छा लड़का है,वह एक अच्छी औरत है
i am afraid this is goodbye,मैं सिर्फ है जैक दिख रहा है,मुझे डर लग रहा है इस अलविदा है
yeah my parents know,अरे यह जाने,हां मेरे मातापिता जानते हैं
must be a dog,इस डॉक्टर कौन है,एक कुत्ता होना चाहिए
are you sure about that,आप इस बारे में यकीन है,आप इस बारे में यकीन है
it opens new doors,यह नए दरवाजे के बेटी है,उससे नए रास्ते खुल जाएँगे
membership one vincent swan you,कम से कम तुम सबों की,सबसे बड़ा प्रशंसक विन्सेंट स्वान
is that what you are saying,यही कह रहे हो,यही कहना चाह रहे हो
charlotte are you reading this,तो तुम वहाँ रहे हो,शेर्लोट आप यह पढ़ रहे हैं
♪ baby lifes too short,♪ शिशु जीवनबहुतछोटाहै ♪ ♪ शिशुजीवनबहुतछोटा है,♪ शिशुमैं जीवनकाबहुतछोटा ♪ ♪ शिशुजीवनबहुतछोटा है
and keep yourself fed,और खरोंच के लिए खा शुक्र है,रखने और अपने आप को खिलाया
i will introduce you around,मैं तुम्हें अगले देखते हैं,मैं तुमको सबसे मिलवा दूंगा
do not do that,ऐसा ऐसा नहीं किया,ऐसा मत करो
this road is not on here,यह सड़क यहाँ पर नहीं है,यह सड़क यहाँ पर नहीं है
i see it differently,मैं इसे गड़बड़ किया था,मैं इसे दूसरे तरीके से देखता हूं
someone will find out,कोई न कोई जान जाएगा,कोई न कोई जान जाएगा
are they from nancy,आप वे में हैं,नैन्सी ने भेजे हैं
well it is not too late,लेकिन यह कोई बात नहीं है,खैर यह भी देर नहीं हुई है
and the bloom grows dull,और तेजी से से गए,= = और खिले बढ़ता सुस्त
when is the wedding,यह खतरे में है,शादी कब है
alright come on through,काश है सुनो को स्विच करें,ठीक है के माध्यम से आते हैं
sharmila are these your manners,क्या अपनी स्कूल सबक हैं,शर्मिला ये अपने व्यवहार कर रहे हैं
no this was revenge,नहीं यह एक,नहीं यह एक
inject her quickly,अपना गधे रखें,उसे जल्दी इंजेक्षन
do not say anything,नहीं कुछ नहीं लौटा,कुछ मत कहना भाड़ में जाओ
we march at once,हम चार योजना में है,हम एक बार में मार्च
no something is wrong,नहीं यह नहीं करो,नहीं कुछ गलत है
are there no other forces,कोई अन्य बलों रहे हैं,कोई अन्य बलों रहे हैं
there is no one home,एक एक रास्ता नहीं है,कोई घर पर नहीं है
louis was my boy,लुई मेरे लड़का था,लुई मेरे लड़का था
is that the test,कि आदमी गया है,परीक्षण के िलए है
now you must tell me,क्या तुम तुम मुझे बताओगे,अब तुम मुझे बताओ चाहिए
mission this is tower,लेकिन बहुत बात है,इस टॉवर   है मिशन
how did you get in,तुम्हें कैसे बचीं,कैसे करेंगे आप में मिलता है
they are giving out melon slices,वे इतने गांव में हुए हैं,वह तरबूज का टुकड़ा दे रहे हैं
what can i drink,क्या मैं क्या कर सकते हैं,मैं क्या पी सकते हैं
that is why we are here,यही यह है कि हम चले,यही कारण है कि हम यहाँ आये
did you design it yourself,क्या आपने कुछ देखते हैं,क्या आपने खुद डिजाइन की
the right plan,दोस्त करो,सही योजना
i allow you to propati,करने के लिए मैं आपको अनुमति देते हैं,करने के लिए मैं आपको अनुमति देते हैं
cup falls,बहुत जादुई दोस्ती,कप गिर जाता है
you know the regulations,आप उद्देश्य न मिला,आप नियमों को जानते हैं
oh my holy god,ओह मेरे भगवान,ओह भगवान भला करे
bringing out the full package,पूरा पैकेज बाहर लाना,पूरा पैकेज बाहर लाना
now back to you,अब आप को वापस,अब आप को वापस
my friends we have guests,मेरे दोस्त हम मेहमान है,मेरे दोस्त हम मेहमान है
so long gay boys,अरे यह हाथ देखो,इतने लंबे समय समलैंगिक लड़कों
i did not know that,मुझे भी नहीं पता था,मुझे लगता है कि पता नहीं था
because that darling little sheilas,क्योंकिउस प्यारी छोटी शीला,क्योंकिउस प्यारी छोटी शीला
malcolm where are you going,स्टीव तुम कहाँ जा रहे हो,तुम कहाँ जा रहे हो
i will show you the way,मैं तुम्हें अगले सप्ताहांत देखेंगे,मैं तुम्हें रास्ता दिखाता हूं
can i help you buddy,क्या मैं तुम्हे भीख माँग रहा हूँ,मैं दोस्त आपकी मदद कर सकते हैं
brought you a present,आप तुम बाहर करोगे,तुम्हारे लिए एक तोहफ़ा लाया हूं
okay who wants to work,ठीक है के लिए को आ रहे हैं,ठीक है जो काम करना चाहता है
you wanna sit down,आप बैठेंगे,आप बैठेंगे
how long chef,कितनी हैं,चीयर्स
i wish you a son,मैं तुम्हें एक पुत्र की कामना करते हैं,मैं तुम्हें एक पुत्र की कामना करते हैं
this was my favorite dress,यह था मेरा पसंदीदा पोशाक,यह था मेरा पसंदीदा पोशाक
that is a sixhour drive,एक अच्छा अच्छा है,यह एक   घंटे ड्राइव है
yeah it is in there,हाँ यह वहाँ में है,हाँ यह वहाँ में है
sweetheart i swear on you,जानेमन मैं तुम पर कसम खाता हूँ,जानेमन मैं तुम पर कसम खाता हूँ
then go to work,अब उनके पीछे आ गया था,तो काम पे लगो
what is your name,तुम्हारा नाम क्या है,तुम्हारा नाम क्या है
should i go back there,मैं वहाँ फोन हो जाएगा,मैं वापस वहाँ जाना चाहिए
all right i am coming out,ठीक है मैं अंदर आ रहा हूँ,मैं बाहर आ रहा हूँ
are you new to me,तुम मुझे लिए आ रहे हैं,मैं तुमसे पहली बार मिल रहा हूँ क्या
that is a good thing,यह एक अच्छी बात है,यह एक अच्छी बात है
man speaking native language,पुरुष अपनी मातृभाषा में बोल रहा है,पुरुष अपनी मातृभाषा में बोल रहा है
good day sir,अच्छा दिन है सर,अच्छा दिन है सर
you do not have to hide,आप मत मत चाहिए,आप को छिपाने के लिए नहीं है
it is like a cb nickname,यह एक पुरानी सरकारी खबर है,वह एक साथी है
and bang you would be toast,और फिर तुम मुसीबत लग हो जाएगा,और धमाके आप टोस्ट होगा
now listen to me,अबमेरीबातसुनो,अबमेरीबातसुनो
you do not have food,खाना नहीं है,खाना नहीं है
ever thought about settling down,बच्चे के बारे में सोचो,कभी बसने के बारे में सोचा है
oh you are jennas favour,तो तुम कहाँ हो,तुम जेना का काम हो
can i speak to larry,क्या मैं बात कर रहा हूँ,क्या मैं लैरी से बात कर सकता हूं
you do the driving,तुम गाड़ी चला रहे है,तुम गाड़ी चला रहे है
officer that is just impossible,ठीक यह जेड सही है,अधिकारी है कि अभी असंभव है
it was my lovers gang,यह आपके मुँह में पोशाक,यह मेरा प्रेमी के गिरोह था
that is more like it,कोई की चीज़ कोई है,यह हुई न बात
they do not like stoners,ये कभी नहीं नहीं हैं,उन्हें नशेड़ी पसंद नहीं हैं
there just dry yourself off,अब बस अपने को सुखा लो,अब बस अपने को सुखा लो
i send vito his friend,मैं अपने दाँत तोड को खो गया,मैं अपने दोस्त वीटो भेजें
it is in dhoolpet tower,यह निर्माण सामग्री है,ये धूलपेटा टॉवर के सामने है
a lethal fighting machine,एक बढ़िया पर पकाया है,एक घातक लड़ाकू मशीन
he is not our good,उन्होंने कहा कि कोई विकल्प नहीं था,वे हमारे अच्छे नहीं
know your evacuation route,आपके बलों ओर देखो,सुरक्षित स्थल के रास्ते को जान लें
what are you doing here,आप यहां पर क्या कर रहे हैं,आप यहाँ क्या कर रहे हो
we will be here all night,हमें कई से छोटी हो जाएगा,हम यहाँ सारी रात रहेंगे
you want a nose ring,तुम एक महान आदमी बेबी रहे हैं,तुम्हें एक नथ चाहिए
we form our own,हम हम हमारे करेंगे,हम अपने स्वयं के रूप में
hit me in minutes,मिनट में मुझे मारा,मिनट में मुझे मारा
sean we are definitely lost,अब हम एक जीवित रहे हैं,शॉन हम निश्चित रूप खो रहे हैं
are you in danger,आप महत्वपूर्ण हो,तुम खतरे में हो
i will walk for a while,मैं अपने लोगों के साथ मिल गया,मुझे थोड़ा चलना होगा
your skin will glow,आपकी त्वचा चमक जाएगी,आपकी त्वचा चमक जाएगी
i love candy bars,मैं कैंडी बार प्यार,मैं कैंडी बार प्यार
the registrars still waiting,रजिस्ट्रार अभी भी इंतजार कर रहा है,रजिस्ट्रार अभी भी इंतजार कर रहा है
went fine no problem,यह कोई नहीं है,कोई समस्या नहीं है ठीक हो गया
come on dick splash,डिक छप चलो,डिक छप चलो
it will not connect,फ़ोन नहीं लग रहा,फ़ोन नहीं लग रहा
we did the right thing,हम यह स्थानांतरण कॉल,हम सही काम किया
why we just eliminate him,आप उसे उसे देखा ठीक,क्यों हम बस उसे खत्म करने
why are you lying,तुम कुछ क्यों क्यों,तुम झूठ क्यों बोल रहे हो
you are not scared of me,तुम नहीं हो   मुझसे डर,तुम नहीं हो   मुझसे डर
what will happen to us,आप क्या क्या होगा,हमारा क्या होगा
she would sit next to you,वो तुम्हारे बगल में बैठेगी,वो तुम्हारे बगल में बैठेगी
we need to organize,हम दोनों करने के लिए की जरूरत है,हम संगठित करने की जरूरत है
vito has always been responsive,लंबे जहां इतना गिर किया है,वीटो हमेशा संवेदनशील रहा
what is going on here,यहाँ क्या हो रहा है,क्या हो रहा है यहाँ
she was so mean,वह इतनी चिड़चिड़ी थी,वह इतनी चिड़चिड़ी थी
breaking off for security sweep,सुरक्षा जांच के लिए अलग हो रहे हैं,सुरक्षा जांच के लिए अलग हो रहे हैं
let us see what we have got,हैं तुम तुम सच मिलता है,के हमें क्या मिला है देखते हैं
how will she be,कैसी दिखती है वो,कैसी दिखती है वो
would you date me,क्या आप मुझे तारीख,क्या आप मुझे तारीख
if i did not care,हा मुझे पता नहीं है,♪ अगर मुझे परवाह नहीं थी ♪
that is a rich bet,यह एक बड़ा दांव है,यह एक बड़ा दांव है
thank you very much,बहुत बहुत धन्यवाद,बहुत बहुत शुक्रिया
you are wasting your efforts,आप अपने प्रयासों को बर्बाद कर रहे हैं,आप अपने प्रयासों को बर्बाद कर रहे हैं
but it knows you jack,लेकिन वह मुझे आँखों मारा है,लेकिन यह आपको जानता है जैक
this is my home,ये अपने दोस्त है,यह मेरा घर है
it can still do,कोई भी भी भी सकता है,वह अभी भी कर सकते हैं
this evenings session is adjourned,इस शाम की बैठक स्थगित होती है,इस शाम की बैठक स्थगित होती है
you insult me,आप मेरा अपमान,आप मेरा अपमान
do you copy,मैंधारत्यागने,सुन पा रहे हो
it was hard for you,यह मिलकर अच्छा लगा के लिए,यह आप के लिए मुश्किल था
come on we ta got go,हम चलो चलते हैं,चलो हमें चलना चाहिए
i should not be here,मुझे यहाँ नहीं होना चाहिए,मुझे यहाँ नहीं होना चाहिए
hold on a second,एकमिनटरुको,एकमिनटरुको
he is got to be there,क्या वह वहाँ होना चाहिए,क्या वह वहाँ होना चाहिए
well not today it is not,आज नहीं है,आज नहीं है
you spoken to them,तुम खुद के लिए नहीं की चाहिए,वाकई
i hope not,मैं नहीं जानती,मुझे नहीं लगता है
ll that be all,बस इतना,बस इतना
it is making me sick,यह मेरा क्या किया है,मुझे अच्छा नहीं लगता
heavy metal music continues,अब असली स्वीडिश नीचे वे शुरू हो,भारीधातुसंगीतजारी
the situation was under control,स्थिति नियंत्रण में था,स्थिति नियंत्रण में था
well i definitely did not,खैर मैं निश्चित रूप से नहीं किया था,खैर मैं निश्चित रूप से नहीं किया था
and remain open long enough,और अपने हाथ से स्टीव हाँ,और खुला रहना काफी देर तक
i am playing up there,मैं इसे रहा हूँ,मैं वहाँ खेल रहा हूँ
dad in his hand,इनके हाथ में,इनके हाथ में
i just found out,मुझे अभी पता चला,मुझे अभी पता चला
like mother like daughter,जैसी मां वैसी बेटी,जैसी मां वैसी बेटी
i was waiting for this,मैं इस में खेद है,मुझे इसकी प्रतीक्षा थी
i am not supposed to,मैं इस लायक नहीं हूँ,मैं इस लायक नहीं हूँ
come on this way,बाहर से से,जल्दी करो इधर
you would better run fast,बेहतर होगा तुम तेज भागो,बेहतर होगा तुम तेज भागो
no there is not is there,नहीं यह यह मतलब नहीं है,नहीं नहीं है नहीं है
i think so your grace,मैं मैं यही सप्ताहांत कामना गया,मुझे ऐसा लगता है अपने अनुग्रह
speaking of work how is jim,के के रूप से ही जा सकता है,काम के बोलते कैसे जिम है
mama petra she talking,माँ पेट्रा वह बात कर,माँ पेट्रा वह बात कर
move out of the way,बीच में से हटो,रास्ते से हट जाओ
i look at it,मैं इसे देखो,मैं इसे देखो
any hold up today,आग बनाएँ,कोई भी आज तक पकड़
if you are a bully,आप तुम एक रहे हैं,आप एक धमकाने कर रहे हैं
some sort of vessel,अपने कहानी लियोनार्ड बताओ करो,पोत के कुछ प्रकार
you signed my death warrant,तुमने मेरी मौत का फ़रमान ज़ारी करवा दिया है,तुमने मेरी मौत का फ़रमान ज़ारी करवा दिया है
please erik calm your mind,अरे अपने अपने बंद ले लो,कृपयाएरिक अपने मन को शांत
decide and then do it,अच्छी तरह सोच लो फिर करो,अच्छी तरह सोच लो फिर करो
that is reassuring good luck,चालीस साल से की तरह है,भाग्य अच्छा है
this meeting is over,इस बैठक खत्म हो गया है,बैठक खत्म
the poisonous plants they sing,लोग लोग बहाल कर रहे हैं,जहरीला पौधों वे गाते हैं
does not matter now,नहीं नहीं गड़बड़ है,अब कोई फ़र्क नहीं पड़ता
why is that alan,क्या ही गुंडागर्दी है,ऐसा क्यों
okay robert that is enough,यह यह ये कोई फायदा जाता है,पर्याप्त है कि ठीक है रॉबर्ट
you already said that,तुम पहले ही कह चुके हो,तुम पहले ही कह चुके हो
baby nothings going on,बंद हो जा रहा है,बेबी कुछ भी नहीं हो रहा है
trevor what are you doing,ट्रेवर तुम क्या कर रहे हैं,ट्रेवर तुम क्या कर रहे हैं
i do not care about that,मैं उस बारे में नहीं है,मुझे परवाह नहीं
i have a plan,मैं एक तरकीब है,मैं एक योजना है
is ball in play,अपने आरोपों को व्यस्त है,खेल में गेंद है
roman you hang in there,रोमन तुम वहाँ में लटका है,रोमन तुम वहाँ में लटका है
it was just a coincidence,यह एक पल एमिली था,वह महज़ एक इत्तिफ़ाक था
how many more lies,और कितने झूठ,और कितने झूठ
what day is it today,आज कौनसा दिन है है,आज कौनसा दिन है
we have been through the records,हम कल ही सब छोड के चलते है,हम रिकॉर्ड देख चुके हैं
nope never heard of him,नहीं पहले कभी नहीं सुना,नहीं पहले कभी नहीं सुना
all right carol where is lavender,ठीक है कैरल लैवेंडर कहां है,ठीक है कैरल लैवेंडर कहां है
just keep your mouth shut,बसअपनामुँहबंद रखना,बसअपनामुँहबंद रखना
this is not your fault,यह केवल में नहीं है,यह आपकी गलती नहीं है
a week if we are lucky,कम अलावा तुम तुम हो,एक हफ्ते हम भाग्यशाली हैं
we will both be shun,हम दोनों ही दूर हो जाएगा,हम दोनों ही दूर हो जाएगा
so your name is peter,मेरा एक नाम भी है,तो तुम्हारा नाम पीटर है
there is no institute,कोई शूटिंग नहीं है,का कहना है कि सड़क के नीचे हस्ताक्षर   मिच   प्रगतिशील ज्वालामुखी एक असफल विचार था
questa sera spirera,जैसे की मदर टेरेसा,♪ आज शाम ♪
i do not where to start,मुझे देख करने की नहीं नहीं चाहती,मैं शुरू करने के लिए जहां नहीं है
she has nothing to say,वह कुछ नहीं कहना है,वह कुछ नहीं कहना है
neural interface drift initiated,टाइगर टीम मिस लेन,तंत्रिका इंटरफेस बहाव शुरू की
am not no big deal,पांडा कोई अन्य विकल्प नहीं है,कोई बड़ी बात नहीं है
tell me i am waiting,मुझे बताओ मैं इंतज़ार कर रहा हूँ,मुझे बताओ मैं इंतज़ार कर रहा हूँ
what is the code to d,बीच़ की तरह क्या क्या है,डी का कोड क्या है
we will control the system,हम प्रणाली को नियंत्रित करेगा,हम प्रणाली को नियंत्रित करेगा
what should we do madam,हमें क्या करना चाहिए मैडम,हमें क्या करना चाहिए मैडम
darren maybe we should think,जाहिर है हम तुम्हे यह जानते हैं,डैरेन शायद हम में सोचना चाहिए
engine starts,इंजन शुरू होता है,इंजन शुरू होता है
he is looking for work,वह काम की तलाश में है,वह काम की तलाश में है
you go to high school,आप अपने परिवार के लिए लगती हो,आप उच्च विद्यालय के लिए जाना
you see this right here,आप यहाँ यहाँ मिलता है,तुम यहीं यह देखना
yeah i could eat,हाँ खाना मिले तो खा लूँगा,हाँ खाना मिले तो खा लूँगा
i am coming in hot,मैं गोली की तरह आ रहा हूँ,मैं गोली की तरह आ रहा हूँ
chuckles yeah i think so,मैं मैं मैं लगता है,हंसते हुए हाँ मुझे ऐसा लगता है
you want to kill me,तुम मुझे मारना चाहते हो,तुम मुझे मारना चाहते हो
you were never a god,तुम खुद में खोई नहीं करती,आप एक भगवान कभी नहीं थे
i feel strong you know,कि सशक्त महसूस महसूस करता हूं यह तुम्हें पता है,मैं सशक्त महसूस करता हूं यह तुम्हें पता है
these are the sacrifices,ये बलिदान हैं,ये बलिदान हैं
i ta got get home,मै नीचे नीचे रखो,मैं घर जाना होगा
i had to stop him,मुझे उसे रोकना था,मुझे उसे रोकना था
does it do anything,यह कुछ नहीं है,क्या यह कुछ करती है
what are you talking about,आप आप के बारे में में बात कर रहे हैं,क्या बात कर रहे हो
wait wait wait,रुको रुको रुको रुको,रुको रुको रुको
morning what is that,कि क्या है,गुड मॉर्निंग
my hearts only loved you,एक और की की आप की दो,मेरा दिल सिर्फ तुम प्यार किया है
a long time ago charlie,बहुत समय पहले चार्ली,बहुत समय पहले चार्ली
it is just a traveling name,यह सिर्फ एक यात्रा का नाम है,यह सिर्फ एक यात्रा का नाम है
she is using you simon,वह साइमन आप उपयोग कर रहा है,वह साइमन आप उपयोग कर रहा है
move to west corridor,दीवार लेने के लिए ऊपर झटका,पश्चिम कॉरिडोर के लिए कदम
i have found a baby before,मैं एक एक अच्छी जरूरत है,मैं एक बच्चा मिला है पहले
out you get kids,बच्चों   बाहर निकलो,बच्चों   बाहर निकलो
if destroy this ship,बहुत लड़की यह बहुत वाली हैं,इस जहाज को नष्ट अगर
prepare for transporter docking operations,दूसरे खाने के लिए अलग हो रहे हैं,ट्रांसपोर्टर डॉकिंग के संचालन के िलए तैयार
i was no boss,मैं अभी नहीं जानता,मैं मालिक नहीं था
you are the führer,आप टेलीविजन हो हैं,तुम फ्यूरर हो
if you come home,तुम तुम जाओ जाओ,आप घर आते हैं
did you say speed,आप आप मालिश हैं,आप स्पीड कहा
no we are not,नहीं ऐसा नहीं है,नहीं हम नहीं कर रहे हैं
have a good one,एक एक अच्छा सिपाही है,आपका दौरा अच्छा रहे
sorry or i love you,क्षमा करें या मैं तुम्हें प्यार करते हो,क्षमा करें या मैं तुम्हें प्यार करते हो
somethings wrong with the girl,यह मेरे नए लिए है,कुछ लड़की के साथ गलत है
i will do it myself,मैं खुद कर लूंगा,मैं खुद कर लूंगा
well maybe just one,खैर वह एक यही घर,चलो एक तो खा ही सकते हो
music playing on earphones,अलाई रुको रुको,संगीतइयरफ़ोनपर खेल
i am saving the human race,मैं एक धैर्य तैनाती चिकित्सक हूँ,मैं मानव जाति को बचा रहा हूँ
it is a database madam,यह महोदया एक डेटाबेस है,यह महोदया एक डेटाबेस है
sweetheart i swear on you,जानेमन मैं तुम पर कसम खाता हूँ,जानेमन मैं तुम पर कसम खाता हूँ
bat brand of justice,न्याय के बैट ब्रांड,न्याय के बैट ब्रांड
get away from here,चले जाओ यहाँ से,यहाँ से चलो भागो
how is this a plan,क्या एक एक क्या है,यह कैसी योजना है
you have good teeth,आप आगंतुकों आदमी है,आप अच्छा दांत है
whistle if you see anything,मुझे तुम्हें भी भी भी सुना है,आप कुछ भी देख अगर सीटी
i did not mean any harm,मैं किसी दुर्भावना को नहीं आए,मैं किसी भी नुकसान मतलब नहीं था
no that does not sound right,नहीं नहीं नहीं अंदर है,नहीं यह सही नहीं लग रहा
have you always been,क्या आप देखना बताना था,हमेशा तुम क्या आप जानते हैं
i will not tell,मैं ऐसा नहीं सोचता,मैं नहीं बताऊंगा
our guests have arrived,हमारे मेहमान आ चुके हैं,हमारे मेहमान आ चुके हैं
otherwise i shall destroy you,वरना मैं तुम्हें मार दूंगा,अन्यथा मैं होगा आप को नष्ट कर
i hope you do not mind,आशा है बुरा नहीं मानोगे,आशा है बुरा नहीं मानोगे
what did you say,तुमने क्या गढ़बड की है,तुमने क्या कहा   आगे बढ़ो
lewis able to pick up,लुईसलेनेमेंसक्षम,लुईसलेनेमेंसक्षम
give them that number,इसे इस कुछ ठीक है,उन्हें यह नम्बर दे दो
you would never hurt me,तुम कुछ भी नहीं याद कर रहे हैं,तुम मुझे कभी चोट नहीं पहुँचा सकते
you can do that,तुम ऐसा कर सकते हो,तुम ऐसा कर सकते हो
